Rank,Company,Plan,Estimated Annual Bill,Source,Last Checked
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,21/09/2026 19:32
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,21/09/2026 19:32
3,Energia,Smart Data 27%,"€1,482.65",Switcher.ie,21/09/2026 19:32
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,21/09/2026 19:32
5,Energia,Smart 24 Hour 30%,"€1,521.25",Switcher.ie,21/09/2026 19:32
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,523.94",Switcher.ie,21/09/2026 19:32
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,21/09/2026 19:32
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,21/09/2026 19:32
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,21/09/2026 23:06
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,21/09/2026 23:06
3,Energia,Smart Data 27%,"€1,482.97",Switcher.ie,21/09/2026 23:06
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,21/09/2026 23:06
5,Energia,Smart 24 Hour 30%,"€1,521.41",Switcher.ie,21/09/2026 23:06
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.27",Switcher.ie,21/09/2026 23:06
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,21/09/2026 23:06
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,21/09/2026 23:06
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,22/09/2026 04:15
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,22/09/2026 04:15
3,Energia,Smart Data 27%,"€1,482.97",Switcher.ie,22/09/2026 04:15
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,22/09/2026 04:15
5,Energia,Smart 24 Hour 30%,"€1,521.41",Switcher.ie,22/09/2026 04:15
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.27",Switcher.ie,22/09/2026 04:15
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,22/09/2026 04:15
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,22/09/2026 04:15
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,22/09/2026 11:18
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,22/09/2026 11:18
3,Energia,Smart Data 27%,"€1,482.97",Switcher.ie,22/09/2026 11:18
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,22/09/2026 11:18
5,Energia,Smart 24 Hour 30%,"€1,521.41",Switcher.ie,22/09/2026 11:18
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.27",Switcher.ie,22/09/2026 11:18
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,22/09/2026 11:18
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,22/09/2026 11:18
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,22/09/2026 16:40
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,22/09/2026 16:40
3,Energia,Smart Data 27%,"€1,482.97",Switcher.ie,22/09/2026 16:40
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,22/09/2026 16:40
5,Energia,Smart 24 Hour 30%,"€1,521.41",Switcher.ie,22/09/2026 16:40
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.27",Switcher.ie,22/09/2026 16:40
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,22/09/2026 16:40
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,22/09/2026 16:40
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,22/09/2026 21:06
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,22/09/2026 21:06
3,Energia,Smart Data 27%,"€1,482.97",Switcher.ie,22/09/2026 21:06
4,Waterpower,Waterpower Smart Tariff (SST),"€1,489.17",Switcher.ie,22/09/2026 21:06
5,Energia,Smart 24 Hour 30%,"€1,521.41",Switcher.ie,22/09/2026 21:06
6,SSE Airtricity,1 Year Smart Day/Night/Peak 30% DD & eBill,"€1,524.27",Switcher.ie,22/09/2026 21:06
7,Flogas,Smart Electricity 29% Loyalty Discount,"€1,544.72",Switcher.ie,22/09/2026 21:06
8,Flogas,Smart 24Hr Electricity 29% Loyalty Discount,"€1,550.32",Switcher.ie,22/09/2026 21:06
1,Electric Ireland,Home Electric SST Saver 16%,"€1,457.44",Switcher.ie,23/09/2026 00:12
2,Electric Ireland,Home Electric+ SST Saver 16%,"€1,457.44",Switcher.ie,23/09/2026 00:12
3,Energia,Smart Data 27%,"€1,483.28",Switcher.ie,23/09/2026 00:12
